TXK,Arkansas,US05
CKB,West Virginia,US54
CHO,Virginia,US51
ATW,Wisconsin,US55
BZN,Montana,US30
BFL,California,US06
WHR,Colorado,US08
EGE,Colorado,US08
ASE,Colorado,US08
AZO,Michigan,US26
LAN,Michigan,US26
AMK,Colorado,US08
DRO,Colorado,US08
MLB,Florida,US12
BTV,Vermont,US50
PWM,Maine,US23
TOL,Ohio,US39
TDZ,Ohio,US39
TDO,Washington,US53
CHS,South Carolina,US45
DHN,Alabama,US01
MTX,Alaska,US02
FAI,Alaska,US02
EIL,Alaska,US02
FBK,Alaska,US02
CIC,California,US06
HKS,Mississippi,US28
JAN,Mississippi,US28
DAB,Florida,US12
AIV,Alabama,US01
ACY,New Jersey,US34
AIY,New Jersey,US34
AKB,Alaska,US02
AKI,Alaska,US02
AKK,Alaska,US02
AKN,Alaska,US02
AKO,Ohio,US39
AKP,Alaska,US02
ALI,Texas,US48
ALN,New Hampshire,US33
ALW,Washington,US53
ALX,Alabama,US01
ALZ,Alaska,US02
AMA,Texas,US48
TDW,Texas,US48
AMW,Iowa,US19
ANB,Alabama,US01
RLI,Alabama,US01
AND,Missouri,US29
ANI,Alaska,US02
ANP,Maryland,US24
ANV,Alaska,US02
ANW,Nebraska,US31
ANY,Texas,US48
AOS,Alaska,US02
APH,Virginia,US51
APN,Michigan,US26
AQY,Alaska,US02
ARB,Michigan,US26
ARC,Alaska,US02
ARX,New Jersey,US34
ASQ,Nevada,US32
AST,Oregon,US41
ASY,North Dakota,US38
ATE,Oklahoma,US40
ATK,Alaska,US02
ATO,Ohio,US39
ATS,California,US06
ATT,Alaska,US02
ATU,Alaska,US02
AUK,Alaska,US02
AUM,Minnesota,US27
AUN,California,US06
AUO,Alabama,US01
AUZ,Ohio,US39
AVL,North Carolina,US37
AVO,Florida,US12
AVP,Pennsylvania,US42
SCR,Pennsylvania,US42
WBW,Pennsylvania,US42
AXB,New York,US36
AXG,Iowa,US19
AXN,Minnesota,US27
AXX,New Mexico,US35
AYZ,New York,US36
BBB,Vermont,US50
BBD,Texas,US48
BBF,Massachusetts,US25
BBW,Oklahoma,US40
BCB,Virginia,US51
BCC,Alaska,US02
BCE,Utah,US49
BCJ,Colorado,US08
BCS,Louisiana,US22
BCT,Florida,US12
BDE,Minnesota,US27
BDR,California,US06
BDX,Montana,US30
BDY,Oregon,US41
BET,Connecticut,US09
JBT,Connecticut,US09
BFF,Nebraska,US31
BFG,Utah,US49
BFP,Pennsylvania,US42
BFR,Virginia,US51
BGE,Washington,US53
BGQ,Minnesota,US27
BGT,Arizona,US04
BHB,Maine,US23
BID,Rhode Island,US44
BIG,Alaska,US02
BIH,California,US06
BIS,North Dakota,US38
BIX,Mississippi,US28
BJI,Minnesota,US27
BKC,Alaska,US02
BKE,Louisiana,US22
BKF,Alaska,US02
BKH,Hawaii,US15
BKT,Virginia,US51
BKX,South Dakota,US46
BLF,West Virginia,US54
