ABE,10529262
ABI,5136567
ABQ,72532248
ACT,5374686
ACY,2001
ADQ,1452726
AKN,568284
ALB,32714349
AMA,12282138
ANC,42393186
APF,728364
ATL,503593671
AUS,85866912
AVL,3173586
AVP,2893446
AZO,5296647
BDL,72042003
BET,2307153
BFL,3339669
BGM,752376
BGR,7419708
BHM,37572777
BIL,6251124
BIS,2779389
BMI,2869434
BNA,112644294
BOI,24164076
BOS,266159013
BPT,3457728
BQN,518259
BRO,508254
BRW,1736868
BTR,10061028
BTV,8888442
BUF,40796388
BUR,53548761
BWI,199767834
BZN,3317658
CAE,6957477
CAK,1900950
CDV,1450725
CHA,3725862
CHS,12228111
CID,14325159
CLE,106979463
CLL,5108553
CLT,256826349
CMH,78429195
CMI,3659829
COS,22363176
CRP,10723359
CRW,1654827
CVG,132594264
DAB,3615807
DAL,95893923
DAY,22175082
DBQ,2643321
DCA,165026472
DEN,265314591
DFW,624384036
DLG,528264
DLH,3845922
DRO,276138
DSM,17620806
DTW,297682767
DUT,1216608
EGE,2203101
ELM,1932966
ELP,43159569
ERI,2909454
EUG,3891945
EVV,3477738
EWR,241164522
EYW,5490744
FAI,10831413
FAR,3491745
FAT,7507752
FAY,1064532
FCA,3159579
FLL,106343145
FNT,2281140
FSD,6041019
FSM,5782890
FWA,5230614
GEG,24970479
GFK,1136568
GGG,3467733
GPT,1734867
GRB,7813905
GRR,22029009
GSO,29998992
GSP,14517255
GST,182091
GTF,4442220
GUC,450225
HDN,1190595
HLN,1696848
HNL,68714340
HOU,118891416
HPN,15113553
HRL,10113054
HSV,11281638
IAD,109792869
IAH,257290581
ICT,15753873
ILE,6381189
ILM,4272135
IND,75779871
ISP,23869929
ITH,1932966
ITO,8150073
JAC,1638819
JAN,18273132
JAX,52822398
JFK,122975457
JNU,9168582
KOA,15023508
KTN,5042520
LAN,5230614
LAS,272350107
LAW,4656327
LAX,450192984
LBB,16664328
LEX,5900949
LFT,4268133
LGA,233056470
LGB,5656827
LIH,15763878
LIT,31545765
LNK,2805402
LRD,3003501
LSE,3513756
LWB,154077
MAF,14961477
MAZ,238119
MBS,5894946
MCI,122663301
MCO,198111006
MDT,13660827
MDW,100904427
MEM,110535240
MFE,6739368
MFR,2743371
MHT,32228106
MIA,151751838
MKE,35869926
MLB,3327663
MLI,4062030
MLU,3149574
MOB,6649323
MOT,2187093
MQT,598299
MRY,4640319
MSN,12754374
MSO,3825912
MSP,285156507
MSY,102161055
MTJ,526263
MYR,5740869
OAK,125588763
OGG,29344665
OKC,43581780
OMA,37506744
OME,2021010
ONT,71399682
ORD,682909284
ORF,37042512
ORH,1994997
OTZ,1954977
PBI,51963969
PDX,110239092
PHL,239491686
PHX,368830323
PIA,3541770
PIT,212828361
PNS,10467231
PSC,2163081
PSG,1452726
PSP,15439716
PVD,59599785
PWM,19697844
RAP,2671335
RDR,92046
RDU,78187074
RIC,36750366
RNO,51763869
ROA,3281640
ROC,30555270
RST,4372185
RSW,35731857
SAN,163955937
SAT,74207085
SAV,13476735
SBA,11647821
SBN,2665332
SBP,4950474
SCC,932466
SDF,42283131
SEA,205606752
SFO,243591735
SGF,10105050
SHV,12034014
SIT,2759379
SJC,144728328
SJT,4514256
SJU,52930452
SLC,152884404
SMF,80438199
SNA,86909433
SPS,3995997
SRQ,9050523
STL,324536187
STT,6723360
STX,1816908
SUX,546273
SWF,2385192
SYR,22285137
TLH,2961480
TOL,4484241
TPA,137356644
TRI,1096548
TUL,45574776
TUS,39117549
TVC,5074536
TXK,3475737
TYR,6377187
TYS,11139567
VPS,3455727
WRG,1452726
XNA,11769882
YAK,1452726
