ABE,13845636
ABI,6188352
ABQ,74214132
ABY,2845680
ACK,484968
ACT,7058088
ACV,8218404
ACY,2196384
ADK,208416
ADQ,1456908
AEX,6521016
AGS,8094156
AKN,761520
ALB,36206268
AMA,16376688
ANC,41162160
APF,280560
ATL,837816288
ATW,5140260
AUS,79861404
AVL,8597160
AVP,6318612
AZO,9633228
BDL,69268260
BET,2282556
BFL,6701376
BGM,3088164
BGR,10146252
BHM,46061940
BIL,11232420
BIS,4899780
BMI,5484948
BNA,120751020
BOI,31434744
BOS,265207356
BPT,4977936
BQK,2611212
BQN,1124244
BRO,3444876
BRW,1422840
BTM,2927844
BTR,15573084
BTV,16092120
BUF,55937652
BUR,53480748
BWI,212540232
BZN,9721404
CAE,25510920
CAK,18569064
CDC,1519032
CDV,1458912
CEC,2042076
CHA,10090140
CHO,6062100
CHS,29727336
CIC,2176344
CID,12272496
CKB,12024
CLD,4266516
CLE,186891036
CLL,7793556
CLT,215754648
CMH,77843376
CMI,6292560
COD,1973940
COS,26262420
CPR,6523020
CRP,17214360
CRW,10897752
CSG,4354692
CVG,416854044
DAB,8066100
DAL,90352344
DAY,32567004
DBQ,2364720
DCA,187237728
DEN,311030820
DFW,691047336
DHN,4064112
DLG,503004
DLH,3042072
DRO,915828
DSM,23094096
DTW,293782392
DUT,110220
EFD,2158308
EGE,2565120
EKO,5404788
ELP,43188204
ERI,2160312
EUG,10905768
EVV,10893744
EWR,316932600
EYW,1284564
FAI,10847652
FAR,7839648
FAT,27510912
FAY,3553092
FCA,6633240
FLL,133288044
FLO,2084160
FMN,2004
FNT,13685316
FSD,10398756
FSM,3635256
FWA,13567080
GEG,28583052
GFK,1931856
GGG,2192376
GJT,7280532
GNV,4717416
GPT,12019992
GRB,11500956
GRK,4472928
GRR,32683236
GSO,38955756
GSP,30342564
GST,184368
GTF,7575120
GTR,2805600
GUC,338676
HDN,1653300
HLN,5336652
HNL,71903520
HOU,118368264
HPN,16847628
HRL,11791536
HSV,23827560
HTS,2256504
HVN,1312620
IAD,266125188
IAH,404868120
ICT,20518956
IDA,6406788
ILE,5949876
ILM,6735444
IND,84364392
IPL,1434864
ISP,25060020
ITO,5062104
IYK,2112216
JAC,7080132
JAN,23092092
JAX,60544848
JFK,183368004
JNU,9172308
KOA,12713376
KTN,4991964
LAN,12440832
LAS,316986708
LAW,4216416
LAX,466172484
LBB,18899724
LCH,3192372
LEX,20166252
LFT,7695360
LGA,255536052
LGB,22821552
LIH,14967876
LIT,35082024
LNK,4543068
LNY,456912
LRD,4535052
LSE,3166320
LWB,340680
LYH,2086164
MAF,15831600
MBS,7883736
MCI,118793112
MCN,3486960
MCO,217959048
MDT,20613144
MDW,183812892
MEI,2144280
MEM,97642896
MFE,6334644
MFR,9370704
MGM,7036044
MHT,47855520
MIA,130763004
MKE,43484796
MKK,454908
MLB,5519016
MLI,8132232
MLU,7054080
MOB,10150260
MOD,2825640
MOT,2224440
MQT,1655304
MRY,14607156
MSN,17426784
MSO,9090144
MSP,294457740
MSY,106546668
MTJ,5046072
MYR,15729396
OAK,141983400
OGD,8016
OGG,27524940
OKC,45019860
OMA,42791412
OME,2094180
ONT,73111932
ORD,753844680
ORF,48122052
OTZ,2050092
OXR,3517020
PBI,55200180
PDX,111837228
PFN,6474924
PHF,11080116
PHL,243928884
PHX,341098836
PIA,8278524
PIE,4659300
PIH,3717420
PIT,125508516
PNS,14474892
PSC,8340648
PSG,1458912
PSP,24192288
PUB,6012
PVD,61015788
PVU,2004
PWM,21979872
RAP,8633232
RDD,4338660
RDM,4985952
RDU,124554612
RIC,34346556
RNO,61198152
ROA,9414792
ROC,38206260
RST,4799580
RSW,43885596
SAN,172536384
SAT,77416524
SAV,26440776
SBA,23216340
SBN,9765492
SBP,11336628
SCC,713424
SCE,3424836
SDF,46476768
SEA,219273672
SFO,260536032
SGF,12995940
SGU,5689356
SHV,17915760
SIT,2669328
SJC,126083664
SJT,5434848
SJU,53372532
SLC,278002896
SMF,97460532
SMX,4262508
SNA,96133884
SPS,4420824
SRQ,12647244
STL,122763036
STT,6601176
STX,815628
SUN,6168312
SWF,6344664
SYR,30400680
TLH,10753464
TOL,11136228
TPA,143770968
TRI,7917804
TUL,43045920
TUS,35761380
TVC,5985948
TWF,4114212
TXK,4010004
TYR,7204380
TYS,27520932
VCT,2066124
VIS,1340676
VLD,2805600
VPS,13009968
WRG,1456908
WYS,480960
XNA,26909712
YAK,1458912
YUM,2603196
