ABE,4184180
ABI,4878874
ABQ,72552480
ACT,4784780
ADQ,1453452
AGS,6006
AKN,644644
ALB,27949922
AMA,12652640
ANC,42230188
ATL,464319856
AUS,78482404
AVL,1961960
AVP,2752750
AZO,3965962
BDL,66504438
BET,2800798
BGR,6260254
BHM,34830796
BIL,5767762
BIS,2856854
BMI,1803802
BNA,99865766
BOI,21985964
BOS,219859640
BPT,768768
BQN,492492
BRO,498498
BRW,1503502
BTR,6924918
BTV,6054048
BUF,31449418
BUR,51255204
BWI,173885712
BZN,3271268
CAE,3569566
CAK,654654
CDV,1453452
CHA,1685684
CHS,8982974
CID,9537528
CLE,89257168
CLL,4360356
CLT,221715494
CMH,71040970
CMI,3507504
COS,16664648
CRP,9273264
CVG,123295172
DAB,2890888
DAL,86468382
DAY,16450434
DBQ,2130128
DCA,138666528
DEN,240788548
DFW,563160598
DLG,616616
DLH,4142138
DRO,708708
DSM,16932916
DTW,281643362
DUT,1477476
EGE,2146144
ELP,41897856
ERI,40040
EUG,2472470
EVV,3149146
EWR,205036832
EYW,3275272
FAI,10756746
FAR,4814810
FAT,6646640
FCA,3101098
FLL,98572474
FNT,1981980
FSD,4202198
FSM,5579574
FWA,4716712
GEG,24368344
GFK,1877876
GGG,2810808
GPT,2032030
GRB,9021012
GRR,20482462
GSO,19879860
GSP,9403394
GST,182182
GTF,4146142
GUC,424424
HDN,1271270
HLN,1591590
HNL,22094072
HOU,110582472
HPN,11311300
HRL,8254246
HSV,6962956
IAD,88958870
IAH,239593354
ICT,10756746
ILE,6328322
ILM,3979976
IND,65263198
ISP,21415394
JAC,2166164
JAN,13805792
JAX,47541494
JFK,100942842
JNU,9195186
KOA,3345342
KTN,5002998
LAN,5459454
LAS,261449188
LAW,4640636
LAX,365166802
LBB,15371356
LEX,3397394
LFT,1343342
LGA,187309122
LGB,6480474
LIH,2018016
LIT,27509482
LRD,3151148
LSE,3761758
MAF,14382368
MAZ,60060
MBS,3915912
MCI,113255142
MCO,163132970
MDT,11363352
MDW,104994890
MEM,96061966
MFE,5825820
MFR,2168166
MHT,30452422
MIA,125799674
MKE,30410380
MLB,2678676
MLI,3209206
MLU,566566
MOB,4040036
MOT,2190188
MQT,534534
MRY,3609606
MSN,12500488
MSO,3795792
MSP,283363080
MSY,98840742
MTJ,668668
MYR,5131126
OAK,123189066
OGG,7865858
OKC,39817778
OMA,35207172
OME,2166164
ONT,65863798
ORD,655430776
ORF,37245208
ORH,568568
OTZ,2162160
PBI,42454412
PDX,101371270
PHL,215727512
PHX,348231884
PIA,2878876
PIT,162968806
PNS,7933926
PSC,1443442
PSG,1453452
PSP,12005994
PVD,54342288
PWM,14548534
RAP,2518516
RDU,91967876
RIC,28270242
RNO,47949902
ROC,18518500
RST,4720716
RSW,27677650
SAN,150049900
SAT,73115042
SAV,11321310
SBA,6610604
SBN,686686
SBP,4876872
SCC,954954
SDF,35809774
SEA,201369168
SFO,198774576
SGF,8814806
SHV,9343334
SIT,2774772
SJC,122156034
SJT,4210206
SJU,47503456
SLC,140188048
SMF,79287208
SNA,84732648
SPS,4134130
SRQ,6916910
STL,265395130
STT,6342336
STX,1463462
SUX,2002
SWF,2580578
SYR,18440422
TLH,2958956
TOL,3589586
TPA,124762638
TUL,40220180
TUS,32476444
TVC,4602598
TXK,2530528
TYR,5695690
TYS,8158150
VPS,4710706
WRG,1453452
XNA,10366356
YAK,1453452
