ABE,11441907
ABI,5691852
ABQ,82610127
ABY,2633184
ACK,630198
ACT,4714443
ACV,7771104
ACY,1475145
ADK,206721
ADQ,1386837
AEX,6012972
AGS,4588002
AKN,471645
ALB,30034755
ALO,602100
AMA,15136794
ANC,39648285
APF,1113885
ASE,10647135
ATL,830598957
ATW,12401253
AUS,103480920
AVL,7572411
AVP,5800230
AZO,10277847
BDL,65482389
BET,2095308
BFL,10426365
BGM,1938762
BGR,8210637
BHM,47234745
BIL,9420858
BIS,6332085
BJI,256896
BLI,1180116
BMI,8467533
BNA,122567490
BOI,36338742
BOS,257538240
BPT,730548
BQK,1992951
BQN,2749590
BRO,3197151
BRW,1457082
BTM,1643733
BTR,20766429
BTV,14528673
BUF,53560809
BUR,66269133
BWI,219535695
BZN,10510659
CAE,21394620
CAK,18735345
CDV,1457082
CEC,2117385
CHA,9097731
CHO,2781702
CHS,31455711
CIC,2757618
CID,22380057
CLD,5479110
CLE,157124016
CLL,3582495
CLT,255105756
CMH,77357808
CMI,5533299
CMX,620163
COD,2681352
COS,34586631
CPR,7807230
CRP,13585383
CRW,7020486
CSG,2805786
CVG,221791563
CWA,3558411
DAB,7399809
DAL,108279657
DAY,31730670
DBQ,2839905
DCA,179959662
DEN,483542496
DFW,596771415
DHN,3289473
DLG,351225
DLH,4391316
DRO,7905573
DSM,35869104
DTW,356198346
EAU,144504
EGE,6733485
EKO,3650733
ELM,2418435
ELP,43762635
ERI,2725506
EUG,12782583
EVV,11704824
EWN,1206207
EWR,309304791
EYW,2111364
FAI,9970776
FAR,10637100
FAT,31527963
FAY,4385295
FCA,6633135
FLG,3835377
FLL,139313898
FLO,1314585
FNT,15604425
FSD,13609467
FSM,5489145
FWA,13232151
GEG,32382945
GFK,2448540
GGG,2193651
GJT,9750006
GLH,4014
GNV,3867489
GPT,14711310
GRB,16927038
GRK,10334043
GRR,32938884
GSO,30064860
GSP,27108549
GST,180630
GTF,5854419
GTR,2019042
GUC,2554911
HDN,5388795
HHH,2000979
HLN,3618621
HNL,135635067
HOU,113475780
HPN,25225983
HRL,10145385
HSV,19652544
HTS,559953
IAD,182733336
IAH,402242940
ICT,29603250
IDA,6789681
ILG,913185
ILM,7656705
IND,87457032
INL,437526
IPL,2609100
ISO,18063
ISP,24529554
ITO,19206990
IYK,1968867
JAC,7058619
JAN,27273123
JAX,72113517
JFK,253616562
JNU,8925129
KOA,32114007
KTN,4792716
LAN,9236214
LAS,368621676
LAW,4682331
LAX,476857179
LBB,17468928
LCH,2416428
LEX,20029860
LFT,11465991
LGA,246658293
LGB,28519470
LIH,31463739
LIT,34137063
LNK,8465526
LRD,5103801
LSE,5041584
LWB,375309
LWS,1416942
LYH,1760139
MAF,15261228
MBS,7514208
MCI,130477077
MCN,1990944
MCO,260464446
MDT,17651565
MDW,192397041
MEI,1360746
MEM,170663238
MFE,9499131
MFR,12822723
MGM,8198595
MHT,42847443
MIA,129937194
MKC,2007
MKE,57006828
MLB,4102308
MLI,19098612
MLU,6209658
MOB,12385197
MOD,6141420
MOT,2167560
MQT,2145483
MRY,17597376
MSN,26925912
MSO,7640649
MSP,312782922
MSY,74919303
MTH,256896
MTJ,5230242
MYR,13575348
OAJ,2275938
OAK,150400566
OGG,51208605
OKC,54116748
OMA,56358567
OME,2183616
ONT,83577501
ORD,754198488
ORF,40164084
OTZ,2179602
OXR,2725506
PBI,59740362
PDX,117616221
PFN,6960276
PHF,11134836
PHL,208854441
PHX,423621504
PIA,10871919
PIH,3660768
PIR,8028
PIT,98762463
PLN,1027584
PMD,786744
PNS,20631960
PSC,5491152
PSE,2009007
PSG,1457082
PSP,26494407
PVD,50909562
PWM,16794576
RAP,10081161
RDD,3598551
RDM,7317522
RDU,134868393
RFD,1392858
RHI,447561
RIC,39852999
RNO,54612477
ROA,7439949
ROC,34668918
ROW,471645
RST,8533764
RSW,55423305
SAN,195313212
SAT,93048534
SAV,28661967
SBA,28647918
SBN,10291896
SBP,14153364
SCC,1457082
SCE,1358739
SDF,44613603
SEA,219017889
SFO,277951437
SGF,22193406
SGU,7297452
SHV,18000783
SIT,2689380
SJC,124040628
SJT,3656754
SJU,47583963
SLC,296650656
SLE,798786
SMF,116554518
SMX,3534327
SNA,106276671
SOP,391365
SPI,3502215
SPS,4648212
SRQ,14713317
STL,130165992
STT,5930685
STX,961353
SUN,6438456
SUX,1071738
SWF,11223144
SYR,26622855
TEX,433512
TLH,8491617
TOL,4206672
TPA,160128495
TRI,2422449
TTN,1621656
TUL,50526225
TUP,1210221
TUS,56543211
TVC,8302959
TWF,4212693
TXK,2424456
TYR,3219228
TYS,28027755
VLD,2121399
VPS,13902489
WRG,1457082
WYS,533862
XNA,28148175
YAK,1457082
YKM,822870
YUM,7072668
